province,communities,avg_flood_score,avg_network_distance_km,avg_water_distance_km,avg_elevation_m,est_population_community,priority_communities
Ratanakiri,27,72.78732835019527,25.486738133950865,4.544640268738141,209.85185185185185,11803.599999999999,6
Mondulkiri,8,71.48540194167411,28.199397894788127,3.822685893809393,332.625,2286.2,3
Kratie,6,45.01528827054389,19.43233733397321,4.93877746784158,60.0,4117.0,0
Stung Treng,3,38.99004246514554,44.933566305402195,5.008713711704029,83.0,1269.6,2
